title,company,link
Business Analyst Intern,WebBoost Solutions by UM,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4389736722?position=1&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Uh3GFCcGUOBzadP71da11g%3D%3D
Business Analyst Intern,Infrabyte Consulting,https://in.linkedin.com/jobs/view/business-analyst-intern-at-infrabyte-consulting-4389458087?position=2&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Um43LTwLzO2cvZQojWrzDw%3D%3D
Business Analyst Intern,WebBoost Solutions by UM,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4389466716?position=3&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=gzCKBIpqSPNOnL30Im8gWw%3D%3D
Business Analyst/ GTM Intern,Banao Technologies,https://in.linkedin.com/jobs/view/business-analyst-gtm-intern-at-banao-technologies-4388649623?position=4&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=54z3XhvzW6t%2FnrNAOVen1A%3D%3D
Business Intelligence,MakeMyTrip,https://in.linkedin.com/jobs/view/business-intelligence-at-makemytrip-4376805886?position=5&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=CMbPmUqExVajoUUqy99OjA%3D%3D
Data Analyst,Navi,https://in.linkedin.com/jobs/view/data-analyst-at-navi-4381460213?position=6&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=YR0qh8%2BQ1u5tB6ieRBhbyQ%3D%3D
Data Analyst,Curefit,https://in.linkedin.com/jobs/view/data-analyst-at-curefit-4353999100?position=7&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=YiP19HdEVeeCstRShoqb4Q%3D%3D
Data Analyst (Stata) | Remote,Crossing Hurdles,https://in.linkedin.com/jobs/view/data-analyst-stata-remote-at-crossing-hurdles-4381028282?position=8&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=RnWPoEwXv1s%2FY40ZqVfMkA%3D%3D
RBHU Analytics - Data Analyst - Python/SQL,ETG India,https://in.linkedin.com/jobs/view/rbhu-analytics-data-analyst-python-sql-at-etg-india-4383873298?position=9&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=og1RBITKIU%2BNOX1xJ%2FCm7g%3D%3D
Data Analyst,L&T Technology Services,https://in.linkedin.com/jobs/view/data-analyst-at-l-t-technology-services-4376063686?position=10&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=ldaimswLKyMV0IFcfq0vXw%3D%3D
Data Analyst,Currie & Brown,https://in.linkedin.com/jobs/view/data-analyst-at-currie-brown-4385696131?position=11&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=hAQLeW2lvRbgkG8ufUD6LQ%3D%3D
Data Analyst,Persistent Systems,https://in.linkedin.com/jobs/view/data-analyst-at-persistent-systems-4375527076?position=12&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=iaCxzhlqmpMQUVPXvBYE7Q%3D%3D
"Data Analyst, Mumbai",Puma Energy,https://in.linkedin.com/jobs/view/data-analyst-mumbai-at-puma-energy-4215862456?position=13&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=6DC%2FSsqGohwNIGeThD1knw%3D%3D
Data Analyst,Better,https://in.linkedin.com/jobs/view/data-analyst-at-better-4378781745?position=14&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=Zrz4R%2Bkugf1EqpXq3ybg0A%3D%3D
Healthcare_ Data Analyst_Q4,Infosys,https://in.linkedin.com/jobs/view/healthcare-data-analyst-q4-at-infosys-4378447516?position=15&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=vI2oXcQKi75ZKIGttMMTMA%3D%3D
Data Analyst,HSBC,https://in.linkedin.com/jobs/view/data-analyst-at-hsbc-4385131162?position=16&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=MS12geCcbO7oo8DtAUilAQ%3D%3D
Data Analyst,GreedyGame,https://in.linkedin.com/jobs/view/data-analyst-at-greedygame-4385652858?position=17&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=XjcD9SHaaMrkh46i0fQwyQ%3D%3D
Data Analyst - Portfolio/Cross-sell/Collections Analytics,Godrej Capital,https://in.linkedin.com/jobs/view/data-analyst-portfolio-cross-sell-collections-analytics-at-godrej-capital-4381986360?position=18&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=arnL4MrL02y2QCDeACGvYg%3D%3D
Data Analyst,HSBC,https://in.linkedin.com/jobs/view/data-analyst-at-hsbc-4385123658?position=19&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=yo1CzDEAE1xYu7ihF1gypw%3D%3D
Data Analyst,EXL,https://in.linkedin.com/jobs/view/data-analyst-at-exl-4382759326?position=20&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=lqeQOVBQ8yTMFFc1%2FNKPaA%3D%3D
Data Analyst,mCaffeine,https://in.linkedin.com/jobs/view/data-analyst-at-mcaffeine-4384018280?position=21&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=OKSZ2gG3okPa%2B0lBR3AxRg%3D%3D
Analyst-Data Analytics,American Express,https://in.linkedin.com/jobs/view/analyst-data-analytics-at-american-express-4386790553?position=22&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=yJCZH4QJnniz7bGepAUZXw%3D%3D
Analyst - III,Nykaa,https://in.linkedin.com/jobs/view/analyst-iii-at-nykaa-4383539688?position=23&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=VrdeFvTG5lwuHkD5qPUySA%3D%3D
Data Analyst,Tata Consultancy Services,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4386876589?position=24&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=VqantNSKs5jyPL6G6%2FimfQ%3D%3D
Data Analyst - I,Electronic Arts (EA),https://in.linkedin.com/jobs/view/data-analyst-i-at-electronic-arts-ea-4364112662?position=25&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=7UMGOWDeYtUCIzYG9bC64Q%3D%3D
